Country,Anthem,translated_anthem,tokens
Samoa,"Samoa, arise and raise your flag, your crown! Samoa, arise and raise your flag, your crown! Look at those stars that are waving on it: This is the symbol of Jesus, who died on it for Samoa. Oh, Samoa, hold fast your power forever. Do not be afraid; God is our foundation, our freedom. Samoa, arise: your flag is waving, your crown!",ซามัว จงลุกขึ้นและชูธง มงกุฎของคุณ! ซามัว จงลุกขึ้นและชูธง มงกุฎของคุณ! มองดูดวงดาวที่โบกสะบัดอยู่บนนั้น นี่คือสัญลักษณ์ของพระเยซูผู้สิ้นพระชนม์บนนั้นเพื่อซามัว โอ้ ซามัว จงยึดอำนาจของคุณไว้ตลอดไป อย่ากลัว พระเจ้าคือรากฐานของเรา และอิสรภาพของเรา ซามัว จงลุกขึ้น ธงของคุณกำลังโบกสะบัด มงกุฎของคุณ!,ซามัว   จง ลุก ขึ้น และ ชูธง   มงกุฎ ของ คุณ !   ซามัว   จง ลุก ขึ้น และ ชูธง   มงกุฎ ของ คุณ !   มอง ดู ดวง ดาว ที่ โบก สะบัด อยู่ บน นั้น   นี่ คือ สัญลักษณ์ ของ พระเยซู ผู้ สิ้น พระชนม์ บน นั้น เพื่อ ซามัว โอ้ ซามัว   จง ยึด อำนาจ ของ คุณ ไว้ ตลอด ไป   อย่า กลัว   พระเจ้า คือ รากฐาน ของ เรา   และ อิสรภาพ ของ เรา   ซามัว   จง ลุก ขึ้น   ธง ของ คุณ กำลัง โบก สะบัด   มงกุฎ ของ คุณ !
Kiribati,"Stand up, People of Kiribati! Sing with jubilation! Prepare to accept responsibility And to help each other! Be steadfastly righteous! Love all our people! Be steadfastly righteous! Love all our people! The attainment of contentment And peace by our people Will be achieved when all our hearts beat as one, Love two another! Promote happiness and unity! Love one another! Promote happiness and unity! We beseech You, O God, To protect and lead us In the days to come. Help us with Your loving hand. Bless our Government and all our people! Bless our Government and all our people!",ลุกขึ้นเถิด ชาวคิริบาส! จงร้องเพลงด้วยความปิติยินดี! เตรียมตัวที่จะรับผิดชอบและช่วยเหลือซึ่งกันและกัน! จงยึดมั่นในความชอบธรรม! รักประชาชนของเราทุกคน! จงยึดมั่นในความชอบธรรม! รักประชาชนของเราทุกคน! การบรรลุถึงความพอใจและสันติภาพโดยประชาชนของเราจะสำเร็จได้เมื่อหัวใจของเราทุกคนเต้นเป็นหนึ่ง รักซึ่งกันและกัน! ส่งเสริมความสุขและความสามัคคี! รักกัน! ส่งเสริมความสุขและความสามัคคี! เราวิงวอนต่อพระองค์ พระเจ้า โปรดปกป้องและนำทางเราในวันข้างหน้า โปรดช่วยเราด้วยพระหัตถ์อันเปี่ยมด้วยความรักของพระองค์ โปรดอวยพรรัฐบาลของเราและประชาชนของเราทุกคน! โปรดอวยพรรัฐบาลของเราและประชาชนของเราทุกคน!,ลุก ขึ้น เถิด   ชาว คิริบาส !   จง ร้อง เพลง ด้วย ความ ปิติ ยินดี !   เตรียม ตัว ที่ จะ รับผิดชอบ และ ช่วยเหลือ ซึ่ง กันและกัน !   จงยึดมั่น ใน ความ ชอบธรรม !   รัก ประชาชน ของ เรา ทุก คน !   จงยึดมั่น ใน ความ ชอบธรรม !   รัก ประชาชน ของ เรา ทุก คน !   การ บรรลุ ถึง ความ พอใจ และ สันติภาพ โดย ประชาชน ของ เรา จะ สำเร็จ ได้ เมื่อ หัวใจ ของ เรา ทุก คน เต้น เป็น หนึ่ง   รัก ซึ่ง กันและกัน !   ส่งเสริม ความ สุข และ ความ สามัคคี !   รัก กัน !   ส่งเสริม ความ สุข และ ความ สามัคคี !   เรา วิงวอน ต่อ พระองค์   พระเจ้า   โปรด ปกป้อง และ นำ ทาง เรา ใน วัน ข้าง หน้า   โปรด ช่วย เรา ด้วย พระหัตถ์ อัน เปี่ยม ด้วย ความ รัก ของ พระองค์   โปรด อวย พร รัฐบาล ของ เรา และ ประชาชน ของ เรา ทุก คน !   โปรด อวย พร รัฐบาล ของ เรา และ ประชาชน ของ เรา ทุก คน !
Federated States of Micronesia,"This here we are pledging, With heart and with hand, Full measure of devotion To thee, our native land. Now all join the chorus, Let union abide. Across all Micronesia Join hands on every side. We all work together, With hearts, voice and hand, Till we have made these islands Another promised land.",เราให้คำมั่นสัญญาด้วยใจและมือ ด้วยความจงรักภักดีอย่างเต็มเปี่ยม ต่อแผ่นดินเกิดของเรา ตอนนี้ทุกคนร่วมร้องประสานเสียง ขอให้ความสามัคคีคงอยู่ ทั่วทั้งไมโครนีเซีย จับมือกันทุกด้าน เราทำงานร่วมกันด้วยใจ เสียง และมือ จนกว่าเราจะทำให้เกาะเหล่านี้กลายเป็นดินแดนแห่งพันธสัญญาอีกแห่ง,เรา ให้ คำมั่นสัญญา ด้วย ใจ และ มือ   ด้วย ความ จงรักภักดี อย่าง เต็มเปี่ยม   ต่อ แผ่นดิน เกิด ของ เรา   ตอน นี้ ทุก คน ร่วม ร้อง ประสาน เสียง   ขอ ให้ ความ สามัคคี คง อยู่   ทั่ว ทั้ง ไมโครนีเซีย   จับ มือ กัน ทุก ด้าน   เรา ทำ งาน ร่วม กัน ด้วย ใจ   เสียง   และ มือ   จนกว่า เรา จะ ทำ ให้ เกาะ เหล่า นี้ กลาย เป็น ดินแดน แห่ง พันธสัญญา อีก แห่ง
Tonga,"Oh almighty God above Thou art our lord and sure defense As your people, we trust thee And our Tonga thou dost love Hear our prayer for thou unseen We know that thou hath blessed our land Grant our earnest supplication God save our king.",โอ้พระเจ้าผู้ยิ่งใหญ่เหนือสิ่งอื่นใด พระองค์ทรงเป็นพระเจ้าและเป็นที่ปกป้องอันมั่นคงของพวกเรา ในฐานะประชาชนของพระองค์ พวกเราวางใจในพระองค์ และพระองค์ทรงรักตองกาของเรา โปรดทรงฟังคำอธิษฐานของเราเพื่อพระองค์ที่ไม่มีใครเห็น เรารู้ว่าพระองค์ทรงอวยพรแผ่นดินของเรา โปรดประทานคำวิงวอนอันจริงใจของเรา พระเจ้าทรงคุ้มครองกษัตริย์ของเรา,โอ้พระเจ้า ผู้ ยิ่งใหญ่ เหนือ สิ่ง อื่น ใด   พระองค์ ทรง เป็น พระเจ้า และ เป็น ที่ ปกป้อง อัน มั่นคง ของ พวก เรา   ใน ฐานะ ประชาชน ของ พระองค์   พวก เรา วางใจ ใน พระองค์   และ พระองค์ ทรง รัก ตองกา ของ เรา   โปรด ทรง ฟัง คำ อธิษฐาน ของ เรา เพื่อ พระองค์ ที่ ไม่ มี ใคร เห็น   เรา รู้ ว่า พระองค์ ทรง อวย พร แผ่นดิน ของ เรา   โปรด ประทาน คำ วิงวอน อัน จริงใจ ของ เรา   พระเจ้า ทรง คุ้มครอง กษัตริย์ ของ เรา
Afghanistan,"This land is Afghanistan - It is the pride of every Afghan   The land of peace, the land of the sword - Its sons are all brave    This is the country of every tribe - Land of Baluch, and Uzbeks  Pashtoons, and Hazaras - Turkman and Tajiks with them,  Arabs and Gojars, Pamirian, Nooristanis Barahawi, and Qizilbash - Also Aimaq, and Pashaye    This Land will shine for ever - Like the sun in the blue sky  In the chest of Asia - It will remain as the heart for ever    We will follow the one God - We all say, Allah is great, we all say, Allah is great ",ดินแดนนี้คืออัฟกานิสถาน - เป็นความภาคภูมิใจของชาวอัฟกานิสถานทุกคน ดินแดนแห่งสันติภาพ ดินแดนแห่งดาบ - ลูกหลานของพวกมันล้วนกล้าหาญ นี่คือดินแดนของทุกเผ่า - ดินแดนของบาลูช และชาวปาชตูนอุซเบก และชาวฮาซารา - ชาวเติร์กแมนและชาวทาจิกพร้อมกับพวกเขา ชาวอาหรับและชาวโกจาร์ ชาวปามีเรียน นูริสตานิส บาราฮาวี และคิซิลบาช - รวมถึงชาวไอมาคและชาวปาชาเย ดินแดนนี้จะส่องแสงตลอดไป - เหมือนดวงอาทิตย์บนท้องฟ้าสีฟ้า ในอกของเอเชีย - มันจะคงอยู่เป็นหัวใจตลอดไป เราจะติดตามพระเจ้าองค์เดียว - เราทุกคนพูดว่า อัลลอฮ์ยิ่งใหญ่ เราทุกคนพูดว่า อัลลอฮ์ยิ่งใหญ่,ดินแดน นี้ คือ อัฟกานิสถาน   -   เป็น ความ ภาคภูมิใจ ของ ชาว อัฟกานิสถาน ทุก คน   ดินแดน แห่ง สันติภาพ   ดินแดน แห่ง ดาบ   -   ลูกหลาน ของ พวก มัน ล้วน กล้าหาญ   นี่ คือ ดินแดน ของ ทุก เผ่า   -   ดินแดน ของ บาลูช   และ ชาว ปาชตูน อุซเบก   และ ชาว ฮาซารา   -   ชาว เติร์ก แมน และ ชาว ทา จิก พร้อม กับ พวก เขา   ชาว อาหรับ และ ชาว โกจาร์   ชาว ปามี เรียน  นูริสตานิส บาราฮาวี   และ คิซิลบาช   -   รวม ถึง ชาว ไอ มาค และ ชาว ปาชาเย   ดินแดน นี้ จะ ส่อง แสง ตลอด ไป   -   เหมือน ดวง อาทิตย์ บน ท้อง ฟ้า สี ฟ้า   ใน อก ของ เอเชีย   -   มัน จะ คง อยู่ เป็น หัวใจ ตลอด ไป   เรา จะ ติดตาม พระเจ้า องค์ เดียว   -   เรา ทุก คน พูด ว่า   อัลลอฮ์ ยิ่งใหญ่   เรา ทุก คน พูด ว่า   อัลลอฮ์ ยิ่งใหญ่
Bahrain,"Our Bahrain, Our King (is) the symbol of harmony. Its Constitution is high in the place and the position Its Charter represents the way of Shari'a, Arabism and the values Long live the Kingdom of Bahrain! (This is the) country of nobles (and) cradle of peace. Its Constitution is high in the place and the position Its Charter represents the way of Shari'a, Arabism and the values Long live the Kingdom of Bahrain!",บาห์เรนของเรา กษัตริย์ของเรา (คือ) สัญลักษณ์ของความสามัคคี รัฐธรรมนูญของประเทศมีสถานะสูงส่ง และกฎบัตรของประเทศเป็นตัวแทนของแนวทางชารีอะห์ อาหรับนิยม และค่านิยม ราชอาณาจักรบาห์เรนจงเจริญ! (นี่คือ) ประเทศของขุนนาง (และ) แหล่งกำเนิดของสันติภาพ รัฐธรรมนูญของประเทศมีสถานะสูงส่ง และกฎบัตรของประเทศเป็นตัวแทนของแนวทางชารีอะห์ อาหรับนิยม และค่านิยม ราชอาณาจักรบาห์เรนจงเจริญ!,บาห์เรน ของ เรา   กษัตริย์ ของ เรา   ( คือ )   สัญลักษณ์ ของ ความ สามัคคี   รัฐธรรมนูญ ของ ประเทศ มี สถานะ สูงส่ง   และ กฎบัตร ของ ประเทศ เป็น ตัว แทน ของ แนว ทาง ชารีอะห์   อาหรับ นิยม   และ ค่า นิยม   ราชอาณาจักรบาห์เรนจงเจริญ !   ( นี่ คือ )   ประเทศ ของ ขุนนาง   ( และ )   แหล่ง กำเนิด ของ สันติภาพ   รัฐธรรมนูญ ของ ประเทศ มี สถานะ สูงส่ง   และ กฎบัตร ของ ประเทศ เป็น ตัว แทน ของ แนว ทาง ชารีอะห์   อาหรับ นิยม   และ ค่า นิยม   ราชอาณาจักรบาห์เรนจงเจริญ !
Bangladesh,"My golden Bengal, I love thee. Forever thy skies, thy air set my heart in tune as if it were a flute, O mother! The aroma of the mango orchard in Falgun drives me crazy, Ah, what a thrill! O mother! In Ogrohayon time sees sweet smiles all through mature fields of paddy. What beauty, what shades, what affection, what tenderness! What a quilt have thee spread at the feet of banyan trees and along the bank of every river, Oh mother mine, words from thy lips are like nectar to my ears. Ah, what a thrill! If sadness, O mother! casts a gloom on your face, my eyes are filled with tears! Spending my childhood in your playhouse Your dirt and soil smeared all over my body, I consider myself privileged. The wonderful lamp you light up at dusk, Ah, what a thrill! I quit play and sprint back to your lap at once, O mother! In the cattle grazing field, on the pier for crossing stream, Shaded village walkways, serene with calling birds, Open porch with heaped ripe paddy my life goes on. Ah, what a thrill! All your shepherds and farmers are my brothers. This time I offer my head beneath your feet, Bless me with your dust, I shall be obliged to flaunt overhead. I shall offer you meagrely whatever I have at home, Ah, what a thrill! Never bother to buy you, from others, a hanging rope disguised as a crown.",เบงกอลสีทองของฉัน ฉันรักเธอ ท้องฟ้าของคุณตลอดไป อากาศของคุณทำให้หัวใจของฉันเต้นรัวราวกับขลุ่ย โอ้แม่! กลิ่นหอมของสวนมะม่วงในฟัลกุนทำให้ฉันคลั่งไคล้ โอ้แม่! ในช่วงเวลาของโอโกรฮายอน จะเห็นรอยยิ้มหวานๆ ทั่วทุ่งนาข้าวที่โตเต็มที่ ช่างงดงาม เฉดสี ความรักใคร่ ความอ่อนโยน ช่างเป็นผ้าห่มที่เจ้าปูไว้เหนือต้นไทรและริมฝั่งแม่น้ำทุกสาย โอ้แม่ของฉัน คำพูดจากริมฝีปากของเจ้าเป็นเหมือนน้ำอมฤตสำหรับหูของฉัน โอ้แม่! หากความเศร้าโศกทำให้ใบหน้าของคุณหม่นหมอง ดวงตาของฉันเต็มไปด้วยน้ำตา! การใช้ชีวิตในวัยเด็กของฉันในบ้านเล่นของคุณ ดินและดินของคุณเปื้อนไปทั่วร่างกายของฉัน ฉันถือว่าตัวเองมีสิทธิพิเศษ โคมไฟอันวิเศษที่คุณจุดขึ้นในยามพลบค่ำ โอ้แม่! ฉันเลิกเล่นและวิ่งกลับไปที่ตักของคุณทันที โอ้แม่! ในทุ่งเลี้ยงสัตว์ บนท่าเทียบเรือสำหรับข้ามลำธาร ทางเดินในหมู่บ้านที่ร่มรื่น เงียบสงบ มีเสียงร้องของนก ระเบียงเปิดโล่งที่มีข้าวเปลือกสุกกองโต ชีวิตของฉันดำเนินต่อไป ช่างน่าตื่นเต้นอะไรเช่นนี้ คนเลี้ยงแกะและชาวนาของคุณทุกคนคือพี่น้องของฉัน ครั้งนี้ ฉันยอมสละศีรษะของฉันใต้เท้าคุณ โปรดอวยพรให้ฉันได้มีฝุ่นผง ฉันจะต้องอวดเบ่งเหนือศีรษะของคุณ ฉันจะมอบสิ่งของที่ฉันมีที่บ้านให้คุณอย่างน้อยนิด ช่างน่าตื่นเต้นอะไรเช่นนี้ อย่าเสียเวลาซื้อเชือกแขวนที่ปลอมตัวเป็นมงกุฎให้คุณจากคนอื่นเลย,เบงกอล สี ทอง ของ ฉัน   ฉัน รัก เธอ   ท้อง ฟ้า ของ คุณ ตลอด ไป   อากาศ ของ คุณ ทำ ให้ หัวใจ ของ ฉัน เต้น รัว ราว กับ ขลุ่ย   โอ้แม่ !   กลิ่น หอม ของ สวน มะม่วง ใน ฟัลกุน ทำ ให้ ฉัน คลั่งไคล้   โอ้แม่ !   ใน ช่วง เวลา ของ โอโกรฮายอน   จะ เห็น รอย ยิ้ม หวาน ๆ   ทั่ว ทุ่ง นา ข้าว ที่ โต เต็มที่   ช่าง งดงาม   เฉด สี   ความ รักใคร่   ความ อ่อนโยน   ช่าง เป็น ผ้า ห่ม ที่ เจ้า ปู ไว้ เหนือ ต้น ไทร และ ริม ฝั่ง แม่น้ำ ทุก สาย   โอ้ แม่ ของ ฉัน   คำ พูด จา ก ริมฝีปาก ของ เจ้า เป็น เหมือน น้ำ อมฤต สำหรับ หู ของ ฉัน   โอ้แม่ !   หาก ความ เศร้าโศก ทำ ให้ ใบ หน้า ของ คุณ หม่นหมอง   ดวง ตา ของ ฉัน เต็ม ไป ด้วย น้ำ ตา !   การ ใช้ ชีวิต ใน วัย เด็ก ของ ฉัน ใน บ้าน เล่น ของ คุณ   ดิน และ ดิน ของ คุณเปื้อน ไป ทั่ว ร่างกาย ของ ฉัน   ฉัน ถือ ว่า ตัว เอง มี สิทธิ พิเศษ   โคม ไฟ อัน วิเศษ ที่ คุณ จุด ขึ้น ใน ยาม พลบค่ำ   โอ้แม่ !   ฉัน เลิก เล่น และ วิ่ง กลับ ไป ที่ ตัก ของ คุณ ทันที   โอ้แม่ !   ใน ทุ่ง เลี้ยง สัตว์   บน ท่า เทียบ เรือ สำหรับ ข้าม ลำ ธาร   ทาง เดิน ใน หมู่ บ้าน ที่ ร่มรื่น   เงียบ สงบ   มี เสียง ร้อง ของ นก   ระเบียง เปิด โล่ง ที่ มี ข้าว เปลือก สุก กอง โต   ชีวิต ของ ฉัน ดำเนิน ต่อ ไป   ช่าง น่า ตื่นเต้น อะไร เช่น นี้   คน เลี้ยง แกะ และ ชาว นา ของ คุณ ทุก คน คือ พี่น้อง ของ ฉัน   ครั้ง นี้   ฉัน ยอม สละ ศีรษะ ของ ฉัน ใต้ เท้า คุณ   โปรด อวย พร ให้ ฉัน ได้ มี ฝุ่น ผง   ฉัน จะ ต้อง อวด เบ่ง เหนือ ศีรษะ ของ คุณ   ฉัน จะ มอบ สิ่งของ ที่ ฉัน มี ที่ บ้าน ให้ คุณ อย่าง น้อย นิด   ช่าง น่า ตื่นเต้น อะไร เช่น นี้   อย่า เสีย เวลา ซื้อ เชือก แขวน ที่ ปลอม ตัว เป็น มงกุฎ ให้ คุณ จาก คน อื่น เลย
Bhutan,"In the Kingdom of Bhutan adorned with cypress trees, The Protector who reigns over the realm of spiritual and secular traditions, He is the King of Bhutan, the precious sovereign. May His being remain unchanging, and the Kingdom prosper, May the teachings of the Enlightened One flourish, May the sun of peace and happiness shine over all people.",ในราชอาณาจักรภูฏานที่ประดับด้วยต้นสน ผู้ทรงพิทักษ์ครองอาณาจักรแห่งประเพณีทางจิตวิญญาณและทางโลก พระองค์คือพระมหากษัตริย์แห่งภูฏาน ผู้ทรงเป็นกษัตริย์ที่ทรงคุณค่า ขอให้พระองค์ดำรงอยู่ไม่เปลี่ยนแปลง และราชอาณาจักรเจริญรุ่งเรือง ขอให้คำสอนของพระผู้ตรัสรู้เจริญรุ่งเรือง ขอให้ดวงตะวันแห่งสันติภาพและความสุขส่องสว่างเหนือผู้คนทั้งปวง,ใน ราชอาณาจักรภูฏาน ที่ ประดับ ด้วย ต้น สน   ผู้ ทรง พิทักษ์ ครอง อาณาจักรแห่ง ประเพณี ทาง จิตวิญญาณ และ ทาง โลก   พระองค์ คือ พระมหากษัตริย์ แห่ง ภูฏาน   ผู้ ทรง เป็น กษัตริย์ ที่ ทรง คุณค่า   ขอ ให้ พระองค์ ดำรง อยู่ ไม่ เปลี่ยนแปลง   และ ราชอาณาจักรเจริญรุ่งเรือง   ขอ ให้ คำ สอน ของ พระ ผู้ ตรัสรู้ เจริญรุ่งเรือง   ขอ ให้ ดวง ตะวัน แห่ง สันติภาพ และ ความ สุข ส่อง สว่าง เหนือ ผู้คน ทั้ง ปวง
Brunei,"O Divine One, a long life consign Upon His Majesty our King, fine Help him rule thy dominion wise The gates to eternal joy he shall prise Serene be both country and sultan God save our land Brunei Darussalam",ข้าแต่พระผู้เป็นเจ้า ขอพระองค์ทรงพระชนม์ชีพยืนยาว ขอพระองค์ทรงโปรดช่วยให้พระองค์ทรงครองราชย์อย่างชาญฉลาด ขอพระองค์เปิดทางสู่ความปีติชั่วนิรันดร์ ขอทั้งประเทศและสุลต่านจงสงบสุข ขอพระเจ้าทรงคุ้มครองแผ่นดินของเรา บรูไน ดารุสซาลาม,ข้า แต่ พระผู้เป็นเจ้า   ขอ พระองค์ ทรง พระชนม์ชีพ ยืนยาว   ขอ พระองค์ ทรง โปรด ช่วย ให้ พระองค์ ทรง ครอง ราชย์ อย่าง ชาญฉลาด   ขอพระองค์ เปิด ทาง สู่ ความ ปีติ ชั่วนิรันดร์  ขอ ทั้ง ประเทศ และ สุล ต่าน จงสงบสุข   ขอ พระเจ้าทรง คุ้มครอง แผ่นดิน ของ เรา   บรูไน ดารุสซาลาม
Cambodia,"Heaven protects our King And gives him happiness and glory To reign over our souls and our destinies, The one being, heir of the Sovereign builders, Guiding the proud old Kingdom. Temples are asleep in the forest, Remembering the splendour of Moha Nokor. Like a rock the Khamer race is eternal. Let us trust in the fate of Campuchea, The empire which challenges the ages. Songs rise up from the pagodas To the glory of holy buddhistic faith. Let us be faithful to our ancestors' belief. Thus heaven will lavish its bounty Towards the ancient Khmer country, the Moha Nokor. ",สวรรค์คุ้มครองกษัตริย์ของเรา และประทานความสุขและความรุ่งโรจน์แก่พระองค์ เพื่อครองดวงวิญญาณและโชคชะตาของเรา ผู้เป็นหนึ่งเดียว ทายาทของเหล่าผู้สร้างกษัตริย์ คอยชี้นำราชอาณาจักรเก่าแก่ที่ภาคภูมิใจ วัดต่างๆ หลับใหลอยู่ในป่า รำลึกถึงความรุ่งโรจน์ของโมฮา โนกอร์ เผ่าขแมร์เป็นอมตะเหมือนก้อนหิน ขอให้เราวางใจในชะตากรรมของแคมปูเชีย อาณาจักรที่ท้าทายทุกยุคทุกสมัย บทเพลงดังขึ้นจากเจดีย์ เพื่อความรุ่งโรจน์ของศรัทธาทางพุทธศาสนาอันศักดิ์สิทธิ์ ขอให้เราซื่อสัตย์ต่อความเชื่อของบรรพบุรุษของเรา ดังนั้น สวรรค์จะมอบความอุดมสมบูรณ์ให้แก่ประเทศเขมรโบราณ โมฮา โนกอร์,สวรรค์ คุ้มครอง กษัตริย์ ของ เรา   และ ประทาน ความ สุข และ ความ รุ่งโรจน์แก่ พระองค์   เพื่อ ครอง ดวง วิญญาณ และ โชคชะตา ของ เรา   ผู้ เป็น หนึ่ง เดียว   ทายาท ของ เหล่า ผู้ สร้าง กษัตริย์   คอย ชี้ นำ ราชอาณาจักร เก่าแก่ ที่ ภาคภูมิใจ   วัด ต่างๆ   หลับ ใหล อยู่ ใน ป่า   รำลึก ถึง ความ รุ่งโรจน์ ของ โมฮา   โนกอร์   เผ่าขแมร์ เป็น อมตะ เหมือน ก้อน หิน   ขอ ให้ เรา วางใจ ใน ชะตากรรม ของ แคม ปูเชีย   อาณาจักร ที่ ท้าทาย ทุก ยุค ทุกสมัย   บท เพลง ดัง ขึ้น จาก เจดีย์   เพื่อ ความ รุ่งโรจน์ ของ ศรัทธา ทาง พุทธศาสนา อัน ศักดิ์สิทธิ์   ขอ ให้ เรา ซื่อสัตย์ ต่อ ความ เชื่อ ของ บรรพบุรุษ ของ เรา   ดัง นั้น   สวรรค์ จะ มอบ ความ อุดมสมบูรณ์ ให้ แก่ ประเทศ เขมร โบราณ  โมฮา โนกอร์
China,"Arise, ye who refuse to be slaves; With our very flesh and blood Let us build our new Great Wall! The peoples of China are in the most critical time, Everybody must roar his defiance. Arise! Arise! Arise! Millions of hearts with one mind, Brave the enemy's gunfire, March on! Brave the enemy's gunfire, March on! March on! March on, on!",จงลุกขึ้น ผู้ที่ไม่ยอมเป็นทาส ด้วยเลือดเนื้อและเนื้อแท้ของเรา เรามาสร้างกำแพงเมืองจีนแห่งใหม่กันเถอะ ประชาชนชาวจีนอยู่ในช่วงเวลาวิกฤตที่สุด ทุกคนต้องคำรามท้าทาย จงลุกขึ้น จงลุกขึ้น จงลุกขึ้น หัวใจนับล้านที่มีใจเดียวกัน จงฝ่าฟันการยิงของศัตรู จงเดินหน้า! จงฝ่าฟันการยิงของศัตรู จงเดินหน้า! จงเดินหน้า! จงเดินหน้า!,จง ลุก ขึ้น   ผู้ ที่ ไม่ ยอม เป็น ทาส   ด้วย เลือดเนื้อ และ เนื้อแท้ ของ เรา   เรา มา สร้าง กำแพง เมืองจีน แห่ง ใหม่ กัน เถอะ   ประชาชน ชาว จีน อยู่ ใน ช่วง เวลา วิกฤต ที่สุด   ทุก คน ต้อง คำ ราม ท้าทาย   จง ลุก ขึ้น   จง ลุก ขึ้น   จง ลุก ขึ้น   หัวใจ นับ ล้าน ที่ มี ใจ เดียว กัน   จง ฝ่า ฟัน การ ยิง ของ ศัตรู   จง เดิน หน้า !   จง ฝ่า ฟัน การ ยิง ของ ศัตรู   จง เดิน หน้า !   จง เดินหน้า !   จง เดิน หน้า !
India,"Thou art the ruler of the minds of all people, Dispenser of India's destiny. Thy name rouses the hearts of Punjab, Sindh,  Gujarat and Maratha, Of the Dravida and Odisha and Bengal; It echoes in the hills of Vindhya and the Himalayas, Mingles in the music of Ganga and Yamuna and is chanted by The waves of the Indian sea. They pray for thy blessings and sing thy praise. The saving of all people waits in thy hand, Thou dispenser of India's destiny. Victory, victory, victory to thee",เจ้าเป็นผู้ปกครองจิตใจของผู้คนทั้งหมด เจ้าผู้กำหนดชะตากรรมของอินเดีย ชื่อของเจ้าปลุกเร้าหัวใจของชาวปัญจาบ สินธ์ กุจาราต และมราฐะ ชาวดราวิดา โอริสสา และเบงกอล ดังก้องกังวานบนเนินเขาวินธยาและเทือกเขาหิมาลัย ผสมผสานกับดนตรีของคงคาและยมุนา และสวดโดยคลื่นทะเลอินเดีย พวกเขาสวดภาวนาขอพรจากเจ้าและร้องเพลงสรรเสริญเจ้า การช่วยเหลือผู้คนทั้งหมดรอคอยอยู่ในมือเจ้า เจ้าผู้กำหนดชะตากรรมของอินเดีย ชัยชนะ ชัยชนะ ชัยชนะจงมีแด่เจ้า,เจ้า เป็น ผู้ ปกครอง จิตใจ ของ ผู้คน ทั้งหมด   เจ้า ผู้ กำหนด ชะตากรรม ของ อินเดีย   ชื่อ ของ เจ้า ปลุกเร้า หัวใจ ของ ชาว ปัญจาบ   สินธ์   กุจาราต   และ มราฐะ   ชาวดราวิดา โอริสสา   และ เบงกอล   ดัง ก้อง กังวาน บน เนิน เขา วินธยา และ เทือกเขาหิมาลัย   ผสมผสาน กับ ดนตรี ของ คงคา และ ยมุนา   และ สวด โดย คลื่น ทะเล อินเดีย   พวก เขา สวด ภาวนา ขอ พร จาก เจ้า และ ร้อง เพลง สรรเสริญ เจ้า   การ ช่วยเหลือ ผู้คน ทั้งหมด รอ คอย อยู่ ใน มือ เจ้า  เจ้า ผู้ กำหนด ชะตากรรม ของ อินเดีย   ชัยชนะ ชัยชนะ   ชัยชนะ จง มี แด่ เจ้า
